table_name,ordinal_position,column_name,formatted_type,type_name,type_modifier,is_not_null,default_expression,identity_kind,generated_kind
address,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
address,2,customer_profile_id,uuid,uuid,-1,true,null,,
address,3,label,address_label,address_label,-1,false,null,,
address,4,recipient_name,text,text,-1,true,null,,
address,5,contact_phone,text,text,-1,true,null,,
address,6,address_line_1,text,text,-1,true,null,,
address,7,address_line_2,text,text,-1,false,null,,
address,8,city,text,text,-1,true,null,,
address,9,country,text,text,-1,true,null,,
address,10,latitude,"numeric(9,6)",numeric,589834,false,null,,
address,11,longitude,"numeric(9,6)",numeric,589834,false,null,,
address,12,is_default,boolean,boolean,-1,true,false,,
cart,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
cart,2,customer_profile_id,uuid,uuid,-1,true,null,,
cart_line,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
cart_line,2,cart_id,uuid,uuid,-1,true,null,,
cart_line,3,product_color_id,uuid,uuid,-1,true,null,,
cart_line,4,quantity,integer,integer,-1,true,null,,
custom_offering,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
custom_offering,2,marketplace_party_id,uuid,uuid,-1,true,null,,
custom_offering,3,design_id,uuid,uuid,-1,true,null,,
custom_offering,4,published_price,"numeric(12,2)",numeric,786438,true,null,,
custom_offering,5,title,text,text,-1,true,null,,
custom_offering,6,description,text,text,-1,false,null,,
custom_offering,7,publication_state,custom_offering_state,custom_offering_state,-1,true,'unpublished'::custom_offering_state,,
custom_offering,8,published_at,timestamp with time zone,timestamp with time zone,-1,false,null,,
customer_profile,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
customer_profile,2,user_id,uuid,uuid,-1,true,null,,
customer_profile,3,full_name,text,text,-1,true,null,,
customer_profile,4,phone,text,text,-1,false,null,,
customer_profile,5,profile_image_url,text,text,-1,false,null,,
customer_profile,6,preferred_language,text,text,-1,false,null,,
customer_profile,7,notification_preference,jsonb,jsonb,-1,false,null,,
design,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
design,2,originating_user_id,uuid,uuid,-1,true,null,,
design,3,source_design_id,uuid,uuid,-1,false,null,,
design,4,source_design_version_id,uuid,uuid,-1,false,null,,
design,5,created_at,timestamp with time zone,timestamp with time zone,-1,true,now(),,
design_product_reference,1,design_id,uuid,uuid,-1,true,null,,
design_product_reference,2,product_id,uuid,uuid,-1,true,null,,
design_version,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
design_version,2,design_id,uuid,uuid,-1,true,null,,
design_version,3,version_sequence,integer,integer,-1,true,null,,
design_version,4,generated_image_url,text,text,-1,true,null,,
design_version,5,requested_attributes,jsonb,jsonb,-1,true,null,,
design_version,6,requested_width_cm,"numeric(8,2)",numeric,524294,false,null,,
design_version,7,requested_height_cm,"numeric(8,2)",numeric,524294,false,null,,
design_version,8,requested_depth_cm,"numeric(8,2)",numeric,524294,false,null,,
design_version,9,modification_instruction,text,text,-1,false,null,,
design_version,10,generated_at,timestamp with time zone,timestamp with time zone,-1,true,now(),,
furnishing_request,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
furnishing_request,2,customer_profile_id,uuid,uuid,-1,true,null,,
furnishing_request,3,address_id,uuid,uuid,-1,true,null,,
furnishing_request,4,title,text,text,-1,true,null,,
furnishing_request,5,requirements_description,text,text,-1,true,null,,
furnishing_request,6,reference_image_urls,text[],text[],-1,false,null,,
furnishing_request,7,budget_min,"numeric(12,2)",numeric,786438,false,null,,
furnishing_request,8,budget_max,"numeric(12,2)",numeric,786438,false,null,,
furnishing_request,9,requested_timing,text,text,-1,false,null,,
furnishing_request,10,offer_deadline,timestamp with time zone,timestamp with time zone,-1,false,null,,
