table_name,ordinal_position,column_name,role_name,table_select,table_insert,table_update,table_delete,column_select,column_insert,column_update,has_column_acl
address,1,id,anon,false,false,false,false,false,false,false,false
address,1,id,authenticated,true,true,true,true,true,true,true,false
address,1,id,service_role,true,true,true,true,true,true,true,false
address,2,customer_profile_id,anon,false,false,false,false,false,false,false,false
address,2,customer_profile_id,authenticated,true,true,true,true,true,true,true,false
address,2,customer_profile_id,service_role,true,true,true,true,true,true,true,false
address,3,label,anon,false,false,false,false,false,false,false,false
address,3,label,authenticated,true,true,true,true,true,true,true,false
address,3,label,service_role,true,true,true,true,true,true,true,false
address,4,recipient_name,anon,false,false,false,false,false,false,false,false
address,4,recipient_name,authenticated,true,true,true,true,true,true,true,false
address,4,recipient_name,service_role,true,true,true,true,true,true,true,false
address,5,contact_phone,anon,false,false,false,false,false,false,false,false
address,5,contact_phone,authenticated,true,true,true,true,true,true,true,false
address,5,contact_phone,service_role,true,true,true,true,true,true,true,false
address,6,address_line_1,anon,false,false,false,false,false,false,false,false
address,6,address_line_1,authenticated,true,true,true,true,true,true,true,false
address,6,address_line_1,service_role,true,true,true,true,true,true,true,false
address,7,address_line_2,anon,false,false,false,false,false,false,false,false
address,7,address_line_2,authenticated,true,true,true,true,true,true,true,false
address,7,address_line_2,service_role,true,true,true,true,true,true,true,false
address,8,city,anon,false,false,false,false,false,false,false,false
address,8,city,authenticated,true,true,true,true,true,true,true,false
address,8,city,service_role,true,true,true,true,true,true,true,false
address,9,country,anon,false,false,false,false,false,false,false,false
address,9,country,authenticated,true,true,true,true,true,true,true,false
address,9,country,service_role,true,true,true,true,true,true,true,false
address,10,latitude,anon,false,false,false,false,false,false,false,false
address,10,latitude,authenticated,true,true,true,true,true,true,true,false
address,10,latitude,service_role,true,true,true,true,true,true,true,false
address,11,longitude,anon,false,false,false,false,false,false,false,false
address,11,longitude,authenticated,true,true,true,true,true,true,true,false
address,11,longitude,service_role,true,true,true,true,true,true,true,false
address,12,is_default,anon,false,false,false,false,false,false,false,false
address,12,is_default,authenticated,true,true,true,true,true,true,true,false
address,12,is_default,service_role,true,true,true,true,true,true,true,false
cart,1,id,anon,false,false,false,false,false,false,false,false
cart,1,id,authenticated,true,true,true,true,true,true,true,false
cart,1,id,service_role,true,true,true,true,true,true,true,false
cart,2,customer_profile_id,anon,false,false,false,false,false,false,false,false
cart,2,customer_profile_id,authenticated,true,true,true,true,true,true,true,false
cart,2,customer_profile_id,service_role,true,true,true,true,true,true,true,false
cart_line,1,id,anon,false,false,false,false,false,false,false,false
cart_line,1,id,authenticated,true,true,true,true,true,true,true,false
cart_line,1,id,service_role,true,true,true,true,true,true,true,false
cart_line,2,cart_id,anon,false,false,false,false,false,false,false,false
cart_line,2,cart_id,authenticated,true,true,true,true,true,true,true,false
cart_line,2,cart_id,service_role,true,true,true,true,true,true,true,false
cart_line,3,product_color_id,anon,false,false,false,false,false,false,false,false
cart_line,3,product_color_id,authenticated,true,true,true,true,true,true,true,false
cart_line,3,product_color_id,service_role,true,true,true,true,true,true,true,false
cart_line,4,quantity,anon,false,false,false,false,false,false,false,false
cart_line,4,quantity,authenticated,true,true,true,true,true,true,true,false
cart_line,4,quantity,service_role,true,true,true,true,true,true,true,false
custom_offering,1,id,anon,true,false,false,false,true,false,false,false
custom_offering,1,id,authenticated,true,true,true,true,true,true,true,false
custom_offering,1,id,service_role,true,true,true,true,true,true,true,false
custom_offering,2,marketplace_party_id,anon,true,false,false,false,true,false,false,false
custom_offering,2,marketplace_party_id,authenticated,true,true,true,true,true,true,true,false
custom_offering,2,marketplace_party_id,service_role,true,true,true,true,true,true,true,false
