table_name,constraint_name,constraint_kind,definition,referenced_table,on_delete
address,address_coordinates_paired,c,"CHECK (num_nonnulls(latitude, longitude) <> 1)",,
address,address_customer_fk,f,FOREIGN KEY (customer_profile_id) REFERENCES customer_profile(id) ON UPDATE CASCADE ON DELETE RESTRICT,customer_profile,restrict
address,address_pkey,p,PRIMARY KEY (id),,
cart,cart_customer_fk,f,FOREIGN KEY (customer_profile_id) REFERENCES customer_profile(id) ON UPDATE CASCADE ON DELETE CASCADE,customer_profile,cascade
cart,cart_pkey,p,PRIMARY KEY (id),,
cart,cart_customer_unique,u,UNIQUE (customer_profile_id),,
cart_line,cart_line_quantity_positive,c,CHECK (quantity > 0),,
cart_line,cart_line_cart_fk,f,FOREIGN KEY (cart_id) REFERENCES cart(id) ON UPDATE CASCADE ON DELETE CASCADE,cart,cascade
cart_line,cart_line_color_fk,f,FOREIGN KEY (product_color_id) REFERENCES product_color(id) ON UPDATE CASCADE ON DELETE CASCADE,product_color,cascade
cart_line,cart_line_pkey,p,PRIMARY KEY (id),,
cart_line,cart_line_unique_per_color,u,"UNIQUE (cart_id, product_color_id)",,
custom_offering,custom_offering_price_non_negative,c,CHECK (published_price >= 0::numeric),,
custom_offering,custom_offering_title_not_blank,c,CHECK (length(btrim(title)) > 0),,
custom_offering,custom_offering_design_fk,f,FOREIGN KEY (design_id) REFERENCES design(id) ON UPDATE CASCADE ON DELETE RESTRICT,design,restrict
custom_offering,custom_offering_party_fk,f,FOREIGN KEY (marketplace_party_id) REFERENCES marketplace_party(id) ON UPDATE CASCADE ON DELETE RESTRICT,marketplace_party,restrict
custom_offering,custom_offering_pkey,p,PRIMARY KEY (id),,
customer_profile,customer_profile_full_name_not_blank,c,CHECK (length(btrim(full_name)) > 0),,
customer_profile,customer_profile_user_fk,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON UPDATE CASCADE ON DELETE CASCADE,users,cascade
customer_profile,customer_profile_pkey,p,PRIMARY KEY (id),,
customer_profile,customer_profile_user_unique,u,UNIQUE (user_id),,
design,design_derivation_paired,c,"CHECK (num_nonnulls(source_design_id, source_design_version_id) <> 1)",,
design,design_no_self_derivation,c,CHECK (source_design_id IS DISTINCT FROM id),,
design,design_originating_user_fk,f,FOREIGN KEY (originating_user_id) REFERENCES auth.users(id) ON UPDATE CASCADE ON DELETE RESTRICT,users,restrict
design,design_source_design_fk,f,FOREIGN KEY (source_design_id) REFERENCES design(id) ON UPDATE CASCADE ON DELETE RESTRICT,design,restrict
design,design_source_version_fk,f,"FOREIGN KEY (source_design_version_id, source_design_id) REFERENCES design_version(id, design_id) ON UPDATE CASCADE ON DELETE RESTRICT",design_version,restrict
design,design_pkey,p,PRIMARY KEY (id),,
design_product_reference,design_product_reference_design_fk,f,FOREIGN KEY (design_id) REFERENCES design(id) ON UPDATE CASCADE ON DELETE CASCADE,design,cascade
design_product_reference,design_product_reference_product_fk,f,FOREIGN KEY (product_id) REFERENCES product(id) ON UPDATE CASCADE ON DELETE CASCADE,product,cascade
design_product_reference,design_product_reference_pk,p,"PRIMARY KEY (design_id, product_id)",,
design_version,design_version_sequence_positive,c,CHECK (version_sequence >= 1),,
design_version,design_version_design_fk,f,FOREIGN KEY (design_id) REFERENCES design(id) ON UPDATE CASCADE ON DELETE RESTRICT,design,restrict
design_version,design_version_pkey,p,PRIMARY KEY (id),,
design_version,design_version_id_design_unique,u,"UNIQUE (id, design_id)",,
design_version,design_version_sequence_unique,u,"UNIQUE (design_id, version_sequence)",,
furnishing_request,furnishing_request_budget_non_negative,c,CHECK ((budget_min IS NULL OR budget_min >= 0::numeric) AND (budget_max IS NULL OR budget_max >= 0::numeric)),,
furnishing_request,furnishing_request_budget_ordered,c,CHECK (budget_min IS NULL OR budget_max IS NULL OR budget_min <= budget_max),,
furnishing_request,furnishing_request_address_fk,f,FOREIGN KEY (address_id) REFERENCES address(id) ON UPDATE CASCADE ON DELETE RESTRICT,address,restrict
furnishing_request,furnishing_request_customer_fk,f,FOREIGN KEY (customer_profile_id) REFERENCES customer_profile(id) ON UPDATE CASCADE ON DELETE RESTRICT,customer_profile,restrict
furnishing_request,furnishing_request_pkey,p,PRIMARY KEY (id),,
furnishing_request_design_version,furnishing_request_design_version_request_fk,f,FOREIGN KEY (furnishing_request_id) REFERENCES furnishing_request(id) ON UPDATE CASCADE ON DELETE CASCADE,furnishing_request,cascade
furnishing_request_design_version,furnishing_request_design_version_version_fk,f,FOREIGN KEY (design_version_id) REFERENCES design_version(id) ON UPDATE CASCADE ON DELETE RESTRICT,design_version,restrict
furnishing_request_design_version,furnishing_request_design_version_pk,p,"PRIMARY KEY (furnishing_request_id, design_version_id)",,
marketplace_party,marketplace_party_business_name_not_blank,c,CHECK (length(btrim(business_name)) > 0),,
marketplace_party,marketplace_party_state_reason_required,c,"CHECK ((approval_state <> ALL (ARRAY['rejected'::party_approval_state, 'suspended'::party_approval_state])) OR state_reason IS NOT NULL AND length(btrim(state_reason)) > 0)",,
marketplace_party,marketplace_party_user_fk,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON UPDATE CASCADE ON DELETE CASCADE,users,cascade
marketplace_party,marketplace_party_pkey,p,PRIMARY KEY (id),,
marketplace_party,marketplace_party_user_unique,u,UNIQUE (user_id),,
offer_line_item,offer_line_item_kind_integrity,c,CHECK (line_kind = 'catalog'::line_kind AND product_id IS NOT NULL OR line_kind = 'custom'::line_kind AND product_id IS NULL AND item_name IS NOT NULL AND length(btrim(item_name)) > 0),,
offer_line_item,offer_line_item_price_non_negative,c,CHECK (unit_price >= 0::numeric),,
offer_line_item,offer_line_item_quantity_positive,c,CHECK (quantity > 0),,
