schema_name,table_name,policy_name,policy_mode,policy_roles,policy_command,complete_using_expression,complete_with_check_expression
public,address,address_select_own_or_engaged,PERMISSIVE,{authenticated},SELECT,"((customer_profile_id = current_customer_profile_id()) OR (EXISTS ( SELECT 1
   FROM service_request sr
  WHERE ((sr.address_id = address.id) AND (sr.marketplace_party_id = current_marketplace_party_id()) AND (sr.lifecycle_state <> 'pending'::service_request_state)))) OR (EXISTS ( SELECT 1
   FROM purchase_order po
  WHERE ((po.address_id = address.id) AND (po.marketplace_party_id = current_marketplace_party_id())))))",null
public,address,address_write_own,PERMISSIVE,{authenticated},ALL,(customer_profile_id = current_customer_profile_id()),(customer_profile_id = current_customer_profile_id())
public,admin_user,admin_user_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null
public,cart,cart_all_own,PERMISSIVE,{authenticated},ALL,(customer_profile_id = current_customer_profile_id()),(customer_profile_id = current_customer_profile_id())
public,cart_line,cart_line_all_own,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM cart c
  WHERE ((c.id = cart_line.cart_id) AND (c.customer_profile_id = current_customer_profile_id()))))","(EXISTS ( SELECT 1
   FROM cart c
  WHERE ((c.id = cart_line.cart_id) AND (c.customer_profile_id = current_customer_profile_id()))))"
public,category,category_select_public,PERMISSIVE,"{anon,authenticated}",SELECT,true,null
public,category,category_write_admin,PERMISSIVE,{authenticated},ALL,is_admin(),is_admin()
public,category,phase32b_category_anon_read_guard,RESTRICTIVE,{anon},SELECT,(is_active = true),null
public,category,phase32b_category_authenticated_read_guard,RESTRICTIVE,{authenticated},SELECT,((is_active = true) OR is_admin()),null
public,commission,commission_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null
public,commission_reversal,commission_reversal_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null
public,custom_offering,custom_offering_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null
public,custom_offering,custom_offering_select_published_or_own,PERMISSIVE,{authenticated},SELECT,((publication_state = 'published'::custom_offering_state) OR (marketplace_party_id = current_marketplace_party_id())),null
