table_name,policy_name,policy_mode,policy_roles,operation_name,effective_using_expression,effective_with_check_expression,required_predicates_present,using_is_literal_true,with_check_is_literal_true,possible_tautology,possible_owner_only_insert_check,possible_state_transition_bypass,policy_layer_approval_manipulation_risk,possible_cross_principal_read,possible_cross_principal_write,unexpected_policy_role,policy_assigned_to_public,unexpected_admin_branch,overlapping_permissive_policy_count,overlapping_permissive_policy_review_required
address,address_select_own_or_engaged,PERMISSIVE,{authenticated},SELECT,"((customer_profile_id = current_customer_profile_id()) OR (EXISTS ( SELECT 1
   FROM service_request sr
  WHERE ((sr.address_id = address.id) AND (sr.marketplace_party_id = current_marketplace_party_id()) AND (sr.lifecycle_state <> 'pending'::service_request_state)))) OR (EXISTS ( SELECT 1
   FROM purchase_order po
  WHERE ((po.address_id = address.id) AND (po.marketplace_party_id = current_marketplace_party_id())))))",null,true,false,false,false,false,false,false,false,false,false,false,false,2,true
address,address_write_own,PERMISSIVE,{authenticated},SELECT,(customer_profile_id = current_customer_profile_id()),null,true,false,false,false,false,false,false,true,false,false,false,false,2,true
address,address_write_own,PERMISSIVE,{authenticated},INSERT,null,(customer_profile_id = current_customer_profile_id()),true,false,false,false,false,false,false,false,true,false,false,false,1,false
address,address_write_own,PERMISSIVE,{authenticated},UPDATE,(customer_profile_id = current_customer_profile_id()),(customer_profile_id = current_customer_profile_id()),true,false,false,false,false,false,false,false,true,false,false,false,1,false
address,address_write_own,PERMISSIVE,{authenticated},DELETE,(customer_profile_id = current_customer_profile_id()),null,true,false,false,false,false,false,false,false,true,false,false,false,1,false
admin_user,admin_user_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null,true,false,false,false,false,false,false,false,false,false,false,false,1,false
cart,cart_all_own,PERMISSIVE,{authenticated},SELECT,(customer_profile_id = current_customer_profile_id()),null,true,false,false,false,false,false,false,true,false,false,false,false,1,false
cart,cart_all_own,PERMISSIVE,{authenticated},INSERT,null,(customer_profile_id = current_customer_profile_id()),true,false,false,false,false,false,false,false,true,false,false,false,1,false
cart,cart_all_own,PERMISSIVE,{authenticated},UPDATE,(customer_profile_id = current_customer_profile_id()),(customer_profile_id = current_customer_profile_id()),true,false,false,false,false,false,false,false,true,false,false,false,1,false
cart,cart_all_own,PERMISSIVE,{authenticated},DELETE,(customer_profile_id = current_customer_profile_id()),null,true,false,false,false,false,false,false,false,true,false,false,false,1,false
cart_line,cart_line_all_own,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM cart c
  WHERE ((c.id = cart_line.cart_id) AND (c.customer_profile_id = current_customer_profile_id()))))",null,true,false,false,false,false,false,false,true,false,false,false,false,1,false
cart_line,cart_line_all_own,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM cart c
  WHERE ((c.id = cart_line.cart_id) AND (c.customer_profile_id = current_customer_profile_id()))))",true,false,false,false,false,false,false,false,true,false,false,false,1,false
cart_line,cart_line_all_own,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM cart c
  WHERE ((c.id = cart_line.cart_id) AND (c.customer_profile_id = current_customer_profile_id()))))","(EXISTS ( SELECT 1
   FROM cart c
  WHERE ((c.id = cart_line.cart_id) AND (c.customer_profile_id = current_customer_profile_id()))))",true,false,false,false,false,false,false,false,true,false,false,false,1,false
cart_line,cart_line_all_own,PERMISSIVE,{authenticated},DELETE,"(EXISTS ( SELECT 1
   FROM cart c
  WHERE ((c.id = cart_line.cart_id) AND (c.customer_profile_id = current_customer_profile_id()))))",null,true,false,false,false,false,false,false,false,true,false,false,false,1,false
category,category_select_public,PERMISSIVE,"{anon,authenticated}",SELECT,true,null,true,true,false,false,false,false,false,false,false,false,false,false,2,true
category,category_write_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null,true,false,false,false,false,false,false,false,false,false,false,false,2,true
category,category_write_admin,PERMISSIVE,{authenticated},INSERT,null,is_admin(),true,false,false,false,false,false,false,false,false,false,false,false,1,false
category,category_write_admin,PERMISSIVE,{authenticated},UPDATE,is_admin(),is_admin(),true,false,false,false,false,false,false,false,false,false,false,false,1,false
category,category_write_admin,PERMISSIVE,{authenticated},DELETE,is_admin(),null,true,false,false,false,false,false,false,false,false,false,false,false,1,false
category,phase32b_category_anon_read_guard,RESTRICTIVE,{anon},SELECT,(is_active = true),null,true,false,false,false,false,false,false,false,false,false,false,false,1,false
category,phase32b_category_authenticated_read_guard,RESTRICTIVE,{authenticated},SELECT,((is_active = true) OR is_admin()),null,true,false,false,true,false,false,false,false,false,false,false,true,2,true
commission,commission_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null,true,false,false,false,false,false,false,false,false,false,false,false,1,false
commission_reversal,commission_reversal_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null,true,false,false,false,false,false,false,false,false,false,false,false,1,false
custom_offering,custom_offering_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null,true,false,false,false,false,false,false,false,false,false,false,false,3,true
