enum_type_name,label_order,label,used_by_columns
address_label,1,home,address.label
address_label,2,work,address.label
address_label,3,other,address.label
custom_offering_state,1,published,custom_offering.publication_state
custom_offering_state,2,unpublished,custom_offering.publication_state
furnishing_request_state,1,draft,furnishing_request.lifecycle_state
furnishing_request_state,2,open,furnishing_request.lifecycle_state
furnishing_request_state,3,accepted,furnishing_request.lifecycle_state
furnishing_request_state,4,withdrawn,furnishing_request.lifecycle_state
furnishing_request_state,5,closed,furnishing_request.lifecycle_state
line_kind,1,catalog,"offer_line_item.line_kind, order_line_item.line_kind"
line_kind,2,custom,"offer_line_item.line_kind, order_line_item.line_kind"
measurement_source,1,ar_measured,saved_space.measurement_source
measurement_source,2,manual,saved_space.measurement_source
offer_state,1,submitted,offer.lifecycle_state
offer_state,2,accepted,offer.lifecycle_state
offer_state,3,rejected,offer.lifecycle_state
offer_state,4,withdrawn,offer.lifecycle_state
offer_state,5,expired,offer.lifecycle_state
order_origin,1,stocked,purchase_order.origin
order_origin,2,custom_offering,purchase_order.origin
order_origin,3,furnishing,purchase_order.origin
order_origin,4,service,purchase_order.origin
order_state,1,pending,purchase_order.lifecycle_state
order_state,2,confirmed,purchase_order.lifecycle_state
order_state,3,preparing,purchase_order.lifecycle_state
order_state,4,out_for_delivery,purchase_order.lifecycle_state
order_state,5,delivered,purchase_order.lifecycle_state
order_state,6,cancelled,purchase_order.lifecycle_state
party_approval_state,1,pending,marketplace_party.approval_state
party_approval_state,2,approved,marketplace_party.approval_state
party_approval_state,3,rejected,marketplace_party.approval_state
party_approval_state,4,suspended,marketplace_party.approval_state
review_target_kind,1,product,review.target_kind
review_target_kind,2,service_request,review.target_kind
review_target_kind,3,marketplace_party,review.target_kind
service_request_state,1,pending,service_request.lifecycle_state
service_request_state,2,accepted,service_request.lifecycle_state
service_request_state,3,in_progress,service_request.lifecycle_state
service_request_state,4,completed,service_request.lifecycle_state
service_request_state,5,cancelled,service_request.lifecycle_state
