table_name,ordinal_position,column_name,formatted_type,is_not_null,default_expression,generated_kind
category,1,id,uuid,true,gen_random_uuid(),
category,2,parent_id,uuid,false,null,
category,3,name,text,true,null,
category,4,icon_url,text,false,null,
category,5,display_order,integer,true,0,
category,6,is_active,boolean,true,true,
product,1,id,uuid,true,gen_random_uuid(),
product,2,marketplace_party_id,uuid,true,null,
product,3,category_id,uuid,true,null,
product,4,name,text,true,null,
product,5,description,text,false,null,
product,6,price,"numeric(12,2)",true,null,
product,7,discount_price,"numeric(12,2)",false,null,
product,8,width_cm,"numeric(8,2)",false,null,
product,9,height_cm,"numeric(8,2)",false,null,
product,10,depth_cm,"numeric(8,2)",false,null,
product,11,weight_kg,"numeric(8,2)",false,null,
product,12,materials,text[],false,null,
product,13,lifecycle_state,product_state,true,'draft'::product_state,
product,14,sku,text,false,null,
product_3d_model,1,id,uuid,true,gen_random_uuid(),
product_3d_model,2,product_id,uuid,true,null,
product_3d_model,3,model_url,text,true,null,
product_color,1,id,uuid,true,gen_random_uuid(),
product_color,2,product_id,uuid,true,null,
product_color,3,color_value,text,true,null,
product_color,4,stock_quantity,integer,true,0,
product_color,5,display_order,integer,true,0,
product_enrichment_assignment,1,product_id,uuid,true,null,
product_enrichment_assignment,2,attribute_id,uuid,true,null,
product_enrichment_assignment,3,confirmation_state,enrichment_confirmation_state,true,'ai_proposed'::enrichment_confirmation_state,
product_enrichment_assignment,4,proposed_at,timestamp with time zone,false,null,
product_enrichment_attribute,1,id,uuid,true,gen_random_uuid(),
product_enrichment_attribute,2,attribute_kind,text,true,null,
product_enrichment_attribute,3,attribute_value,text,true,null,
product_image,1,id,uuid,true,gen_random_uuid(),
product_image,2,product_id,uuid,true,null,
product_image,3,image_url,text,true,null,
product_image,4,display_order,integer,true,0,
product_image,5,is_primary,boolean,true,false,
product_image,6,product_color_id,uuid,false,null,
